order_id,order_date,customer_id,customer_age,region,channel,category,product,unit_price,quantity,discount_pct,revenue,payment_method,order_status,rating
ORD-000021,2025-01-01,CUST-00411,47.0,North,Website,Home & Kitchen,Bed Sheets,39.6,3,0,118.8,Credit Card,Pending,4.1
ORD-000022,2025-02-20,CUST-00803,55.0,Central,Mobile App,Sports,Jump Rope,10.04,1,15,8.53,Crypto,Completed,4.9
ORD-000023,2024-12-01,CUST-00515,61.0,Central,Website,Electronics,Laptop Stand,45.03,1,10,40.53,Gift Card,Completed,3.4
ORD-000024,2025-10-02,CUST-00253,38.0,Central,Mobile App,Books,Cook Book,19.49,1,20,15.59,Gift Card,Completed,3.3
ORD-000025,2026-03-25,CUST-00272,18.0,West,Website,Sports,Resistance Bands,24.07,1,5,22.87,PayPal,Completed,4.7
ORD-000026,2025-11-18,CUST-00076,33.0,Central,Website,Automotive,Car Vacuum,90.9,1,25,68.18,PayPal,Completed,1.3
ORD-000027,2025-10-23,CUST-00721,60.0,East,Mobile App,Beauty,Perfume,48.62,1,15,41.33,Gift Card,Completed,2.2
ORD-000028,2026-08-09,CUST-00761,58.0,Central,Website,Clothing,Denim Jacket,67.48,2,20,107.97,PayPal,Completed,1.8
ORD-000029,2025-11-14,CUST-00867,39.0,North,Website,Sports,Gym Bag,57.75,1,20,46.2,Crypto,Returned,
ORD-000030,2025-06-27,CUST-00723,52.0,West,Mobile App,Home & Kitchen,Knife Set,32.93,1,5,31.28,Credit Card,Completed,4.6
ORD-000031,2026-06-29,CUST-00131,24.0,North,Website,Electronics,Laptop Stand,57.04,1,0,57.04,Credit Card,Cancelled,2.0
ORD-000032,2025-10-18,CUST-00636,44.0,South,In-Store,Beauty,Hair Dryer,100.44,5,5,477.09,Debit Card,Cancelled,4.2
ORD-000033,2024-12-06,CUST-00954,20.0,West,Marketplace,Electronics,Smartwatch,511.95,1,5,486.35,Debit Card,Completed,1.4
ORD-000034,2026-02-10,CUST-00359,35.0,East,Marketplace,Automotive,Dash Cam,40.27,1,20,32.22,Debit Card,Completed,2.6
ORD-000035,2024-11-09,CUST-00696,34.0,Central,Website,Clothing,Yoga Pants,55.32,2,10,99.58,Credit Card,Completed,1.7
ORD-000036,2026-07-04,CUST-00806,20.0,East,Mobile App,Electronics,Wireless Earbuds,114.09,1,5,108.39,Gift Card,Completed,1.8
ORD-000037,2025-04-03,CUST-00704,60.0,South,Website,Toys,LEGO Set,54.39,1,15,46.23,Credit Card,Pending,3.5
ORD-000038,2025-12-16,CUST-00335,61.0,West,Mobile App,Clothing,Yoga Pants,80.57,1,10,72.51,Gift Card,Completed,4.8
ORD-000039,2025-05-22,CUST-00854,47.0,North,Website,Home & Kitchen,Blender,75.04,1,5,71.29,Debit Card,Completed,3.6
ORD-000040,2025-11-25,CUST-00813,70.0,South,Mobile App,Automotive,Tire Inflator,100.48,1,10,90.43,PayPal,Completed,2.3
ORD-000041,2026-05-05,CUST-00026,58.0,North,Website,Books,Business Mindset,16.46,2,0,32.92,Crypto,Completed,2.8
ORD-000042,2025-11-12,CUST-00672,62.0,North,Marketplace,Books,Cook Book,38.12,1,0,38.12,Credit Card,Completed,4.2
ORD-000043,2025-04-15,CUST-00125,66.0,West,Website,Automotive,Car Phone Mount,22.71,1,20,18.17,Crypto,Completed,3.4
ORD-000044,2025-08-02,CUST-00437,33.0,Central,Mobile App,Automotive,Car Vacuum,60.75,1,20,48.6,Debit Card,Completed,2.0
ORD-000045,2025-03-30,CUST-00451,26.0,North,Marketplace,Sports,Gym Bag,35.38,1,0,35.38,Debit Card,Completed,3.2
ORD-000046,2026-03-11,CUST-00220,44.0,North,Mobile App,Home & Kitchen,Coffee Maker,60.77,1,0,60.77,PayPal,Completed,1.8
ORD-000047,2024-10-05,CUST-00902,44.0,Central,Website,Toys,Doll Set,68.71,1,0,68.71,Credit Card,Pending,2.6
ORD-000048,2025-04-15,CUST-00030,57.0,West,Website,Books,Cook Book,17.68,3,5,50.39,Crypto,Completed,4.7
ORD-000049,2026-03-03,CUST-00086,47.0,West,Website,Electronics,USB-C Hub,39.68,2,10,71.42,Crypto,Completed,2.3
ORD-000050,2025-03-07,CUST-00771,40.0,West,Website,Beauty,Perfume,78.81,1,5,74.87,Credit Card,Completed,1.2
ORD-000051,2024-12-28,CUST-00773,48.0,North,In-Store,Books,Python Programming,67.75,2,10,121.95,Debit Card,Returned,2.0
ORD-000052,2026-01-29,CUST-00263,28.0,East,Website,Clothing,Winter Coat,168.78,1,5,160.34,Gift Card,Pending,4.1
ORD-000053,2025-09-23,CUST-00590,24.0,West,Website,Sports,Yoga Mat,38.99,1,20,31.19,Debit Card,Completed,3.5
ORD-000054,2025-06-28,CUST-00580,59.0,North,Website,Sports,Gym Bag,60.28,2,15,102.48,Crypto,Completed,
ORD-000055,2026-01-20,CUST-00109,59.0,West,In-Store,Beauty,Face Serum,49.68,3,15,126.68,Crypto,Completed,3.9
ORD-000056,2026-03-31,CUST-00496,23.0,West,Mobile App,Sports,Gym Bag,48.33,2,10,86.99,Gift Card,Completed,4.3
ORD-000057,2025-03-26,CUST-00625,69.0,West,Website,Sports,Jump Rope,6.93,1,5,6.58,Crypto,Returned,1.8
ORD-000058,2024-11-24,CUST-00902,64.0,East,Mobile App,Sports,Water Bottle,20.22,1,10,18.2,Gift Card,Pending,
ORD-000059,2026-07-08,CUST-00488,37.0,West,Mobile App,Toys,Puzzle 1000pc,28.92,2,0,57.84,Credit Card,Completed,3.8
ORD-000060,2025-12-03,CUST-00764,30.0,Central,Website,Beauty,Lip Gloss Set,38.14,2,5,72.47,Crypto,Completed,1.5
ORD-000061,2026-01-27,CUST-00707,56.0,South,Website,Beauty,Face Serum,45.2,1,25,33.9,Crypto,Completed,4.0
ORD-000062,2025-06-18,CUST-00370,21.0,South,Website,Sports,Yoga Mat,52.47,1,0,52.47,Gift Card,Completed,
ORD-000063,2026-04-13,CUST-00106,34.0,North,Mobile App,Sports,Resistance Bands,24.77,1,15,21.05,Crypto,Completed,4.9
ORD-000064,2025-12-27,CUST-00076,23.0,Central,Mobile App,Automotive,Car Phone Mount,55.46,1,5,52.69,Credit Card,Completed,4.8
ORD-000065,2026-08-08,CUST-00611,55.0,Central,Website,Books,Python Programming,34.53,2,5,65.61,Gift Card,Completed,2.2
ORD-000066,2024-10-28,CUST-00984,33.0,North,In-Store,Toys,Board Game,41.52,3,0,124.56,Debit Card,Completed,1.3
ORD-000067,2026-01-07,CUST-00462,47.0,Central,Mobile App,Home & Kitchen,Blender,28.97,1,0,28.97,Credit Card,Completed,3.8
ORD-000068,2026-07-03,CUST-00641,35.0,Central,Mobile App,Clothing,Denim Jacket,129.71,3,15,330.76,Debit Card,Completed,3.6
ORD-000069,2025-07-18,CUST-00610,35.0,Central,In-Store,Home & Kitchen,Air Fryer,71.77,2,15,122.01,Crypto,Completed,3.8
ORD-000070,2024-12-17,CUST-00443,54.0,East,Mobile App,Automotive,Tire Inflator,57.01,1,0,57.01,Credit Card,Completed,4.3
ORD-000071,2025-09-22,CUST-00180,58.0,West,Mobile App,Electronics,Laptop Stand,53.86,2,15,91.56,Crypto,Cancelled,3.3
ORD-000072,2025-09-12,CUST-00329,43.0,North,Marketplace,Automotive,Car Phone Mount,22.9,4,5,87.02,PayPal,Completed,3.7
ORD-000073,2025-10-16,CUST-00119,30.0,West,Marketplace,Electronics,USB-C Hub,26.84,1,0,26.84,Credit Card,Completed,2.7
ORD-000074,2026-09-04,CUST-00779,49.0,North,Website,Beauty,Hair Dryer,77.65,4,10,279.54,Gift Card,Completed,4.5
ORD-000075,2026-06-04,CUST-00246,25.0,South,Website,Clothing,Running Shoes,117.85,1,10,106.06,Credit Card,Completed,
ORD-000076,2025-04-22,CUST-00956,47.0,East,Mobile App,Automotive,Car Phone Mount,25.02,2,0,50.04,PayPal,Completed,2.9
ORD-000077,2025-01-13,CUST-00765,68.0,South,Marketplace,Home & Kitchen,Bed Sheets,26.17,1,10,23.55,PayPal,Completed,2.4
ORD-000078,2025-01-29,CUST-00602,39.0,Central,In-Store,Sports,Yoga Mat,19.41,1,0,19.41,Crypto,Cancelled,2.9
ORD-000079,2026-05-25,CUST-00715,48.0,South,Mobile App,Toys,Puzzle 1000pc,34.31,1,20,27.45,Debit Card,Returned,2.3
ORD-000080,2026-08-29,CUST-00668,,,Mobile App,Toys,Puzzle 1000pc,39.68,1,15,33.73,Credit Card,Completed,
ORD-000081,2026-04-09,CUST-00740,57.0,South,Mobile App,Automotive,Car Phone Mount,21.91,1,5,20.81,Debit Card,Completed,2.1
ORD-000082,2025-10-31,CUST-00880,52.0,Central,Website,Toys,LEGO Set,97.77,2,20,156.43,PayPal,Completed,3.0
ORD-000083,2025-12-15,CUST-00944,58.0,East,In-Store,Electronics,Bluetooth Speaker,68.59,4,10,246.92,Credit Card,Completed,
ORD-000084,2026-02-17,CUST-00030,51.0,North,Website,Clothing,Polo Shirt,14.62,1,0,14.62,Credit Card,Completed,1.6
ORD-000085,2025-05-16,CUST-00180,27.0,North,Mobile App,Toys,Doll Set,45.04,1,0,45.04,Crypto,Completed,4.7
ORD-000086,2026-05-26,CUST-00683,46.0,North,Marketplace,Books,Cook Book,30.4,1,5,28.88,Crypto,Cancelled,1.6
ORD-000087,2026-06-05,CUST-00707,33.0,East,Mobile App,Beauty,Hair Dryer,47.44,2,25,71.16,PayPal,Completed,2.9
ORD-000088,2025-05-06,CUST-00717,65.0,East,Website,Toys,Doll Set,31.38,2,0,62.76,Crypto,Completed,3.7
ORD-000089,2025-07-22,CUST-00925,57.0,East,Marketplace,Electronics,Bluetooth Speaker,126.73,1,15,-107.72,Debit Card,Completed,3.5
ORD-000090,2026-06-24,CUST-00662,36.0,North,Website,Sports,Resistance Bands,28.85,2,20,46.16,Crypto,Completed,1.5
ORD-000091,2026-07-28,CUST-00553,48.0,East,Mobile App,Beauty,Lip Gloss Set,15.11,1,0,15.11,PayPal,Returned,4.3
ORD-000092,2025-02-16,CUST-00078,69.0,South,Marketplace,Sports,Water Bottle,19.31,2,5,36.69,Debit Card,Cancelled,4.9
ORD-000093,2025-10-31,CUST-00550,24.0,North,Mobile App,Beauty,Face Serum,74.19,1,0,74.19,PayPal,Completed,4.8
ORD-000094,2025-10-27,CUST-00575,62.0,East,In-Store,Books,Cook Book,16.25,1,20,13.0,Debit Card,Completed,2.9
ORD-000095,2025-06-30,CUST-00039,47.0,East,In-Store,Sports,Jump Rope,6.75,1,0,6.75,Credit Card,Completed,1.5
ORD-000096,2026-06-27,CUST-00159,62.0,West,Mobile App,Beauty,Hair Dryer,56.43,1,15,47.97,Crypto,Completed,2.1
ORD-000097,2026-03-17,CUST-00876,43.0,East,Website,Beauty,Moisturizer,27.96,1,25,20.97,PayPal,Completed,2.4
ORD-000098,2025-07-02,CUST-00844,68.0,West,Website,Sports,Resistance Bands,41.0,1,20,32.8,Debit Card,Completed,1.1
ORD-000099,2025-02-21,CUST-00211,39.0,North,Marketplace,Beauty,Moisturizer,38.67,1,15,32.87,Gift Card,Completed,
ORD-000100,2025-11-10,CUST-00149,40.0,South,Mobile App,Home & Kitchen,Blender,45.81,1,20,36.65,Debit Card,Completed,1.5
ORD-000101,2025-02-22,CUST-00054,46.0,South,Marketplace,Books,Fiction Novel,8.78,1,0,8.78,Gift Card,Completed,
ORD-000102,2025-09-27,CUST-00227,48.0,Central,Website,Beauty,Hair Dryer,66.05,1,5,62.75,Gift Card,Completed,1.1
ORD-000103,2025-12-22,CUST-00932,26.0,West,Website,Toys,Puzzle 1000pc,49.94,1,5,47.44,Credit Card,Completed,
ORD-000104,2026-02-24,CUST-00333,68.0,West,In-Store,Sports,Gym Bag,33.57,1,10,30.21,Gift Card,Completed,2.7
ORD-000105,2025-02-27,CUST-00463,38.0,South,Mobile App,Clothing,Winter Coat,131.65,1,0,131.65,Crypto,Completed,2.3
ORD-000106,2026-08-05,CUST-00486,65.0,North,Website,Sports,Water Bottle,33.75,2,10,60.75,Credit Card,Completed,
ORD-000107,2025-05-20,CUST-00576,45.0,Central,Website,Beauty,Moisturizer,36.03,5,10,162.14,Credit Card,Completed,4.8
ORD-000108,2024-11-06,CUST-00592,53.0,Central,Website,Electronics,Laptop Stand,75.43,1,5,71.66,Crypto,Completed,
ORD-000109,2026-02-09,CUST-00827,60.0,West,Marketplace,Beauty,Face Serum,42.74,1,10,38.47,Gift Card,Completed,1.1
ORD-000110,2025-01-14,CUST-00317,27.0,East,Website,Sports,Yoga Mat,16.18,1,15,13.75,Debit Card,Cancelled,2.6
ORD-000111,2025-11-06,CUST-00430,56.0,West,Website,Electronics,Wireless Earbuds,160.69,1,0,160.69,PayPal,Completed,4.8
ORD-000112,2026-01-05,CUST-00051,66.0,North,Website,Clothing,Running Shoes,36.71,1,15,31.2,Crypto,Completed,2.1
ORD-000113,2026-06-05,CUST-00695,18.0,Central,Mobile App,Clothing,Yoga Pants,46.5,1,0,46.5,PayPal,Completed,3.4
ORD-000114,2025-10-16,CUST-00783,42.0,East,Website,Books,Business Mindset,42.32,7,15,251.8,Credit Card,Completed,1.7
ORD-000115,2025-01-25,CUST-00363,38.0,North,Website,Books,Fiction Novel,12.25,1,10,11.03,Credit Card,Completed,1.3
ORD-000116,2026-02-24,CUST-00297,62.0,North,Mobile App,Toys,Doll Set,24.06,1,10,21.65,PayPal,Completed,2.8
ORD-000117,2025-01-16,CUST-00447,39.0,Central,Mobile App,Beauty,Face Serum,32.34,1,0,32.34,Credit Card,Completed,2.4
ORD-000118,2025-01-10,CUST-00523,27.0,South,In-Store,Home & Kitchen,Air Fryer,92.03,1,0,92.03,PayPal,Completed,3.6
ORD-000119,2026-02-21,CUST-00617,66.0,South,Marketplace,Books,Python Programming,13.08,3,0,39.24,Credit Card,Completed,3.0
ORD-000120,2024-10-02,CUST-00331,55.0,East,Website,Automotive,Car Vacuum,57.36,2,25,86.04,Credit Card,Completed,4.2
ORD-000121,2026-03-17,CUST-00463,57.0,North,Website,Electronics,Laptop Stand,42.32,2,5,80.41,PayPal,Completed,4.4
ORD-000122,2025-01-27,CUST-00757,27.0,North,Mobile App,Toys,Puzzle 1000pc,19.77,1,25,14.83,Gift Card,Completed,2.9
ORD-000123,2026-06-24,CUST-00352,51.0,North,Mobile App,Electronics,USB-C Hub,25.18,3,20,60.43,Debit Card,Completed,5.0
ORD-000124,2025-04-24,CUST-00419,24.0,East,Mobile App,Home & Kitchen,Knife Set,42.35,1,0,42.35,Credit Card,Returned,1.3
ORD-000125,2026-07-12,CUST-00988,37.0,Central,Marketplace,Toys,Board Game,26.33,2,20,42.13,PayPal,Completed,4.7
ORD-000126,2025-08-07,CUST-00318,65.0,Central,Website,Toys,Remote Car,55.7,6,20,267.36,PayPal,Returned,4.3
ORD-000127,2025-09-24,CUST-00317,26.0,South,In-Store,Clothing,Polo Shirt,35.99,1,0,35.99,PayPal,Pending,1.9
ORD-000128,2025-06-18,CUST-00520,26.0,Central,Marketplace,Home & Kitchen,Air Fryer,101.41,1,15,86.2,Gift Card,Completed,4.1
ORD-000129,2026-08-26,CUST-00790,41.0,Central,Marketplace,Toys,Remote Car,29.73,1,15,25.27,Debit Card,Completed,
ORD-000130,2026-02-24,CUST-00803,30.0,West,Website,Books,Cook Book,21.4,1,15,18.19,Debit Card,Completed,2.9
ORD-000131,2025-09-15,CUST-00289,26.0,West,Mobile App,Beauty,Hair Dryer,93.89,1,5,89.2,Crypto,Pending,4.2
ORD-000132,2026-09-23,CUST-00568,35.0,North,Marketplace,Sports,Yoga Mat,41.66,1,20,33.33,Gift Card,Returned,4.1
ORD-000133,2026-07-26,CUST-00970,41.0,South,Marketplace,Automotive,Car Vacuum,28.74,1,5,27.3,PayPal,Cancelled,2.6
ORD-000134,2025-12-29,CUST-00029,36.0,East,In-Store,Books,Cook Book,71.73,2,5,136.29,PayPal,Returned,
ORD-000135,2025-09-19,CUST-00631,64.0,North,In-Store,Automotive,Dash Cam,117.3,1,5,111.43,Credit Card,Completed,3.2
ORD-000136,2025-09-05,CUST-00125,49.0,North,Website,Toys,LEGO Set,79.05,4,0,316.2,Gift Card,Completed,
ORD-000137,2025-12-24,CUST-00299,23.0,West,Website,Electronics,Bluetooth Speaker,161.81,1,15,137.54,PayPal,Completed,3.7
ORD-000138,2025-12-06,CUST-00806,42.0,Central,Mobile App,Beauty,Face Serum,123.53,1,10,111.18,Crypto,Cancelled,
ORD-000139,2025-08-09,CUST-00070,20.0,East,Website,Beauty,Perfume,97.26,2,5,184.79,Credit Card,Completed,2.3
ORD-000140,2024-11-27,CUST-00851,67.0,West,In-Store,Beauty,Hair Dryer,65.51,1,10,58.96,Crypto,Completed,1.3
ORD-000141,2024-11-29,CUST-00205,34.0,North,Website,Automotive,Car Phone Mount,24.44,1,0,24.44,PayPal,Completed,3.2
ORD-000142,2025-06-17,CUST-00049,42.0,East,Website,Electronics,Smartwatch,184.83,3,20,443.59,PayPal,Completed,2.8
ORD-000143,2025-07-27,CUST-00947,56.0,Central,Website,Beauty,Moisturizer,39.2,1,5,37.24,Credit Card,Completed,
ORD-000144,2025-03-04,CUST-00336,46.0,East,Website,Home & Kitchen,Blender,47.98,1,0,47.98,Gift Card,Completed,2.8
ORD-000145,2026-01-06,CUST-00655,19.0,North,Website,Electronics,Laptop Stand,41.17,1,5,39.11,Crypto,Completed,3.7
ORD-000146,2025-08-29,CUST-00130,27.0,North,Website,Home & Kitchen,Blender,92.64,2,5,176.02,PayPal,Completed,1.1
ORD-000147,2024-10-22,CUST-00588,19.0,South,Mobile App,Automotive,Seat Covers,54.1,1,15,45.98,Crypto,Completed,4.8
ORD-000148,2026-06-06,CUST-00121,49.0,East,Marketplace,Home & Kitchen,Bed Sheets,58.65,1,20,46.92,Crypto,Completed,3.8
ORD-000149,2025-05-04,CUST-00177,36.0,West,In-Store,Books,Python Programming,17.78,2,0,35.56,PayPal,Completed,3.2
ORD-000150,2026-02-23,CUST-00654,33.0,South,Marketplace,Sports,Resistance Bands,20.38,1,20,16.3,Gift Card,Completed,4.2
ORD-000151,2025-03-20,CUST-00479,48.0,Central,Website,Automotive,Car Phone Mount,16.66,1,10,14.99,Credit Card,Completed,3.9
ORD-000152,2025-12-14,CUST-00996,67.0,East,Mobile App,Toys,Puzzle 1000pc,56.09,2,0,112.18,Crypto,Completed,1.5
ORD-000153,2025-08-09,CUST-00057,40.0,North,Mobile App,Home & Kitchen,Coffee Maker,81.91,1,20,65.53,PayPal,Completed,3.8
ORD-000154,2025-07-21,CUST-00565,59.0,East,Website,Sports,Yoga Mat,27.59,1,10,24.83,PayPal,Completed,
ORD-000155,2024-10-10,CUST-00675,19.0,Central,Marketplace,Home & Kitchen,Blender,126.54,1,0,126.54,Gift Card,Completed,1.2
ORD-000156,2025-10-22,CUST-00272,58.0,South,Marketplace,Clothing,Running Shoes,127.47,1,15,108.35,Crypto,Completed,
ORD-000157,2025-07-10,CUST-00702,47.0,West,Website,Sports,Water Bottle,22.09,5,15,93.88,Credit Card,Completed,2.7
ORD-000158,2026-06-25,CUST-00736,41.0,East,Marketplace,Books,Business Mindset,28.99,2,5,55.08,PayPal,Pending,
ORD-000159,2025-01-30,CUST-00461,33.0,South,Website,Clothing,Yoga Pants,25.96,1,0,25.96,Credit Card,Completed,3.5
ORD-000160,2025-10-02,CUST-00195,23.0,South,Mobile App,Home & Kitchen,Knife Set,104.17,2,15,177.09,Gift Card,Completed,3.0
ORD-000161,2025-07-03,CUST-00598,48.0,East,Website,Toys,Doll Set,41.46,1,0,41.46,PayPal,Completed,3.6
ORD-000162,2026-01-30,CUST-00138,30.0,East,Marketplace,Sports,Gym Bag,14.29,2,0,28.58,Crypto,Completed,3.3
ORD-000163,2026-08-11,CUST-00462,24.0,Central,Website,Beauty,Hair Dryer,46.65,3,5,132.95,Gift Card,Completed,
ORD-000164,2025-11-30,CUST-00962,20.0,East,Marketplace,Toys,Board Game,60.83,1,5,57.79,Debit Card,Completed,1.2
ORD-000165,2024-11-19,CUST-00153,57.0,Central,Marketplace,Home & Kitchen,Knife Set,109.61,2,10,197.3,Debit Card,Completed,1.7
ORD-000166,2025-08-22,CUST-00546,39.0,West,Marketplace,Sports,Gym Bag,36.82,2,15,62.59,PayPal,Completed,
ORD-000167,2026-04-03,CUST-00743,54.0,North,Mobile App,Clothing,Polo Shirt,35.08,2,15,59.64,PayPal,Pending,4.1
ORD-000168,2025-01-16,CUST-00645,62.0,Central,Marketplace,Books,Python Programming,24.8,5,0,124.0,Crypto,Completed,1.1
ORD-000169,2024-11-26,CUST-00156,65.0,West,Mobile App,Clothing,Denim Jacket,60.59,1,5,57.56,Crypto,Completed,2.9
ORD-000170,2025-09-18,CUST-00679,52.0,West,Mobile App,Electronics,Smartwatch,241.87,1,10,217.68,PayPal,Pending,
ORD-000171,2025-12-08,CUST-00253,63.0,East,Mobile App,Beauty,Perfume,135.85,1,0,135.85,Debit Card,Pending,4.1
ORD-000172,2024-10-05,CUST-00957,70.0,East,Website,Books,Cook Book,26.21,1,5,24.9,Gift Card,Completed,4.9
ORD-000173,2026-06-04,CUST-00732,70.0,North,Website,Beauty,Moisturizer,28.07,1,0,28.07,Crypto,Completed,1.9
ORD-000174,2025-10-31,CUST-00631,21.0,Central,Website,Sports,Gym Bag,60.29,2,0,120.58,Credit Card,Completed,3.6
ORD-000175,2025-12-16,CUST-00698,48.0,South,Website,Clothing,Polo Shirt,47.78,1,5,45.39,Gift Card,Pending,3.6
ORD-000176,2025-10-01,CUST-00293,20.0,North,In-Store,Automotive,Dash Cam,135.47,2,0,270.94,Credit Card,Completed,4.0
ORD-000177,2026-05-24,CUST-00942,36.0,North,In-Store,Home & Kitchen,Bed Sheets,74.11,1,0,74.11,Crypto,Returned,4.0
ORD-000178,2024-09-24,CUST-00951,50.0,East,Website,Electronics,Wireless Earbuds,74.9,3,10,202.23,Gift Card,Completed,1.5
ORD-000179,2025-04-30,CUST-00167,61.0,West,Mobile App,Automotive,Seat Covers,31.9,1,0,31.9,Debit Card,Completed,2.2
ORD-000180,2026-08-11,CUST-00416,26.0,West,Mobile App,Books,Data Science Guide,40.61,8,10,292.39,Credit Card,Completed,
ORD-000181,2025-03-18,CUST-00393,18.0,South,Mobile App,Automotive,Seat Covers,68.66,2,0,137.32,PayPal,Pending,3.9
ORD-000182,2024-10-06,CUST-00122,67.0,West,Website,Sports,Water Bottle,29.38,1,0,29.38,Crypto,Completed,4.6
ORD-000183,2026-08-21,CUST-00377,41.0,Central,Website,Sports,Yoga Mat,43.74,1,20,34.99,Debit Card,Completed,5.0
ORD-000184,2026-06-22,CUST-00822,46.0,South,Marketplace,Toys,Doll Set,60.9,2,15,103.53,Gift Card,Cancelled,
ORD-000185,2025-11-21,CUST-00849,38.0,Central,In-Store,Beauty,Face Serum,97.55,1,0,97.55,Debit Card,Completed,
ORD-000186,2025-01-02,CUST-00501,47.0,North,Marketplace,Automotive,Car Phone Mount,21.29,2,15,36.19,Crypto,Returned,3.1
ORD-000187,2025-04-11,CUST-00741,40.0,North,Website,Electronics,Bluetooth Speaker,74.95,2,15,127.42,Credit Card,Completed,1.2
ORD-000188,2025-09-26,CUST-00071,59.0,West,Website,Clothing,Winter Coat,236.55,1,20,189.24,Crypto,Completed,
ORD-000189,2024-10-05,CUST-00891,52.0,West,Website,Toys,Board Game,60.19,1,5,57.18,Gift Card,Completed,1.5
ORD-000190,2025-12-14,CUST-00855,42.0,North,Marketplace,Toys,Doll Set,38.38,1,25,28.79,PayPal,Completed,2.7
ORD-000191,2026-03-06,CUST-00194,33.0,North,Website,Books,Data Science Guide,28.03,1,0,28.03,Crypto,Completed,4.6
ORD-000192,2025-06-21,CUST-00613,67.0,North,Website,Books,Python Programming,18.53,2,0,37.06,Credit Card,Completed,1.9
ORD-000193,2026-02-12,CUST-00836,27.0,Central,Website,Electronics,Smartwatch,162.61,1,0,162.61,Gift Card,Completed,1.9
ORD-000194,2025-03-02,CUST-00972,40.0,Central,Marketplace,Books,Cook Book,18.65,1,0,18.65,Debit Card,Completed,3.0
ORD-000195,2025-12-22,CUST-00153,63.0,East,Website,Toys,Doll Set,52.77,1,5,50.13,Gift Card,Completed,2.2
ORD-000196,2026-05-19,CUST-00992,23.0,West,Mobile App,Home & Kitchen,Bed Sheets,76.01,2,10,136.82,Debit Card,Completed,2.3
ORD-000197,2026-04-29,CUST-00196,66.0,North,Website,Automotive,Seat Covers,26.36,1,15,22.41,Gift Card,Completed,1.8
ORD-000198,2025-07-18,CUST-00311,66.0,North,Website,Books,Cook Book,21.5,1,20,17.2,Debit Card,Pending,
ORD-000199,2025-05-07,CUST-00407,34.0,South,Mobile App,Automotive,Dash Cam,104.87,1,15,89.14,PayPal,Completed,2.4
ORD-000200,2024-12-01,CUST-00823,54.0,West,Marketplace,Beauty,Hair Dryer,145.94,1,5,138.64,PayPal,Cancelled,2.7
